Date,0,1,2,3,4,Total
07/30/2016,16,5,14,16,,51
07/31/2016,19,9,15,13,,56
08/01/2016,15,7,15,16,,53
08/02/2016,13,4,12,9,1,39
08/03/2016,13,9,12,10,,44
08/04/2016,4,5,13,16,,38
08/05/2016,13,6,13,14,1,47
08/06/2016,16,6,10,20,,52
08/07/2016,13,9,11,17,,50
08/08/2016,9,10,12,14,,45
08/09/2016,11,4,9,17,,41
08/10/2016,9,9,7,7,,32
08/11/2016,9,7,14,14,,44
08/12/2016,10,8,12,15,,45
08/13/2016,11,13,10,19,,53
08/14/2016,7,9,16,17,1,50
08/15/2016,15,7,12,10,,44
08/16/2016,10,10,12,10,,42
08/17/2016,8,6,12,13,,39
08/18/2016,12,5,11,13,,41
08/19/2016,8,8,15,18,,49
08/20/2016,10,6,8,25,,49
08/21/2016,8,10,9,16,,43
08/22/2016,8,16,4,14,,42
08/23/2016,13,6,10,15,,44
08/24/2016,8,8,9,13,,38
08/25/2016,11,11,18,14,,54
